BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
54362	Q  	O2[+WA] Adv[+WH] O1 Verb Not Aux S ka             	
54364	Q  	O2[+WA] Adv[+WH] O3 P O1 Verb Not Aux S ka        	
54366	Q  	O2[+WA] O1[+WH] Verb Not Aux S ka                 	
54368	Q  	O2[+WA] O3 P O1[+WH] Verb Not Aux S ka            	
54370	Q  	O2[+WA] O3[+WH] P O1 Verb Not Aux S ka            	
54372	Q  	O2[+WA] Adv O1[+WH] Verb Never Aux S ka           	
54374	Q  	O2[+WA] Adv O3 P O1[+WH] Verb Never Aux S ka      	
54376	Q  	O2[+WA] Adv O3[+WH] P O1 Verb Never Aux S ka      	
54378	Q  	O2[+WA] Adv[+WH] O1 Verb Never Aux S ka           	
54380	Q  	O2[+WA] Adv[+WH] O3 P O1 Verb Never Aux S ka      	
54382	Q  	O2[+WA] O1[+WH] Verb Never Aux S ka               	
54384	Q  	O2[+WA] O3 P O1[+WH] Verb Never Aux S ka          	
54386	Q  	O2[+WA] O3[+WH] P O1 Verb Never Aux S ka          	
54452	Q  	O2[+WA] Adv O1[+WH] Verb Aux S ka                 	
54454	Q  	O2[+WA] Adv O3 P O1[+WH] Verb Aux S ka            	
54456	Q  	O2[+WA] Adv O3[+WH] P O1 Verb Aux S ka            	
54458	Q  	O2[+WA] Adv[+WH] O1 Verb Aux S ka                 	
54460	Q  	O2[+WA] Adv[+WH] O3 P O1 Verb Aux S ka            	
54462	Q  	O2[+WA] O1[+WH] Verb Aux S ka                     	
54464	Q  	O2[+WA] O3 P O1[+WH] Verb Aux S ka                	
54466	Q  	O2[+WA] O3[+WH] P O1 Verb Aux S ka                	
54516	Q  	O2[+WA] Adv O1 Verb Not Aux S[+WH] ka             	
54517	Q  	O2[+WA] Adv O3 P O1 Verb Not Aux S[+WH] ka        	
54518	Q  	O2[+WA] O1 Verb Not Aux S[+WH] ka                 	
54519	Q  	O2[+WA] O3 P O1 Verb Not Aux S[+WH] ka            	
54520	Q  	O2[+WA] Adv O1 Verb Never Aux S[+WH] ka           	
54521	Q  	O2[+WA] Adv O3 P O1 Verb Never Aux S[+WH] ka      	
54522	Q  	O2[+WA] O1 Verb Never Aux S[+WH] ka               	
54523	Q  	O2[+WA] O3 P O1 Verb Never Aux S[+WH] ka          	
54540	Q  	O2[+WA] Adv O1 Verb Aux S[+WH] ka                 	
